id,program_code,status,academic_period,fulltime,pell_eligible,cumulative_gpa,cumulative_points,cumulative_credit_hours,semester_gpa,semester_points,semester_credit_hours
111111,EPS-BS,ACCEPTED,Fall 2010,TRUE,FALSE,3,329,84,4,72,18
111111,EPS-BS,ACCEPTED,Spring 2011,FALSE,FALSE,3,329,84,,,
111111,EPS-BS,ACCEPTED,Fall 2011,FALSE,TRUE,3,329,84,,,
111111,EPS-BS,ACCEPTED,Spring 2012,TRUE,FALSE,3,387,99,,,
111111,EPS-BS,ACCEPTED,Fall 2012,TRUE,TRUE,3,449,115,,,
111111,ANTH-BA,INTENDED,Fall 2008,FALSE,FALSE,4,68,17,4,20,5
111111,ANTH-BA,INTENDED,Spring 2009,TRUE,TRUE,3,129,34,3,60,17
111111,ENSC-BS,INTENDED,Fall 2009,TRUE,TRUE,3,186,48,4,56,14
111111,ENSC-BS,ACCEPTED,Spring 2010,TRUE,TRUE,3,256,66,3,69,18
111112,BIOL-BS,ACCEPTED,Spring 2008,TRUE,FALSE,3,179,59,3,45,14
111112,BIOL-BS,ACCEPTED,Fall 2008,TRUE,FALSE,2,224,77,2,44,18
111112,BIOL-BS,ACCEPTED,Spring 2009,TRUE,FALSE,2,274,92,3,50,15
111112,BIOL-BS,ACCEPTED,Fall 2009,TRUE,TRUE,2,319,107,2,44,15
111112,BIOL-BS,ACCEPTED,Spring 2010,TRUE,FALSE,3,364,121,,,
111112,BIOL-BS,ACCEPTED,Fall 2010,TRUE,TRUE,3,408,136,,,
111112,BIOL-BS,ACCEPTED,Spring 2011,TRUE,FALSE,3,458,152,,,
111112,MATH-BS,INTENDED,Fall 2006,TRUE,TRUE,3,54,15,3,54,15
111112,MATH-BS,INTENDED,Spring 2007,TRUE,TRUE,3,105,31,3,51,16
111112,MATH-BS,INTENDED,Fall 2007,TRUE,TRUE,2,134,45,2,29,14
111113,BADM-BA,INTENDED,Fall 2006,TRUE,FALSE,3,38,12,3,38,12
